playerId,name,team,pos,age_2025,exp_2025,censored,war_2025,talent_rate,proj_seasons,remaining_WAR,rem_WAR_low,rem_WAR_high,next_season_WAR,peak_level,peak_age,career_to_date_WAR,career_total_proj
8482947,Zakhar Bardakov,COL,F,24.9,1,False,0.39,0.46,11,0.4,0.0,2.2,0.25,0.42,26,0.4,0.8
8476480,Vladislav Namestnikov,WPG,F,33.2,13,False,-0.13,0.76,5,0.3,0.0,1.0,0.24,0.54,34,11.0,11.3
8481186,Logan O'Connor,COL,F,29.5,8,False,-0.07,0.77,8,0.3,0.0,1.1,0.22,0.62,30,6.2,6.6
8476925,Colton Sissons,VGK,F,32.2,13,False,0.3,0.7,7,0.3,0.0,2.1,0.36,0.51,33,5.8,6.1
8478046,Danton Heinen,CBJ,F,30.6,10,False,0.22,0.62,6,0.3,0.0,1.2,0.24,0.45,32,8.5,8.8
8476438,Brandon Saad,VGK,F,33.3,15,False,0.13,0.76,5,0.3,0.0,1.0,0.23,0.53,34,23.8,24.1
8474574,Tyler Myers,DAL,D,36.0,17,False,0.24,0.96,7,0.3,0.0,1.3,0.36,0.58,37,19.9,20.2
8484958,Maxim Tsyplakov,NJD,F,27.4,2,False,-0.2,0.53,10,0.3,0.0,1.8,0.26,0.45,28,1.1,1.3
8480950,Ilya Lyubushkin,DAL,D,31.8,8,False,-0.15,0.63,8,0.3,0.0,1.7,0.3,0.5,33,3.6,3.9
8477967,Thatcher Demko,VAN,G,30.2,9,False,0.58,0.98,5,0.3,0.0,1.3,0.14,0.91,31,9.8,10.1
8476448,William Karlsson,VGK,F,33.1,12,False,-0.23,0.85,5,0.3,0.0,0.9,0.23,0.63,34,19.0,19.3
8480145,Neal Pionk,WPG,D,30.5,9,False,-0.77,0.62,9,0.3,0.0,1.9,0.27,0.44,32,10.1,10.4
8482691,Aatu Rty,VAN,F,23.2,4,False,0.47,0.16,13,0.3,0.0,2.5,0.16,0.3,25,-0.1,0.1
8483499,Liam Ohgren,VAN,F,22.0,3,False,-0.03,-0.07,14,0.3,0.0,2.7,0.09,0.27,25,-0.4,-0.2
8476455,Gabriel Landeskog,COL,F,33.2,15,False,0.03,0.82,5,0.3,0.0,1.0,0.26,0.6,34,16.8,17.1
8482445,Devin Cooley,CGY,G,28.7,3,False,3.27,0.97,5,0.3,0.0,1.4,0.14,0.93,30,2.3,2.6
8474563,Drew Doughty,LAK,D,36.2,18,False,0.75,0.93,6,0.2,0.0,0.9,0.22,0.55,37,37.0,37.2
8475660,Cam Talbot,DET,G,38.6,13,False,-1.79,0.83,4,0.2,0.0,3.0,0.17,0.59,40,14.5,14.7
8475798,Mikael Granlund,ANA,F,33.9,14,False,0.57,0.71,4,0.2,0.0,0.8,0.19,0.47,35,15.9,16.1
8481013,Jonatan Berggren,STL,F,25.5,4,False,0.08,0.46,10,0.2,0.0,1.9,0.24,0.41,27,1.1,1.3
8477903,Garnet Hathaway,PHI,F,34.2,11,False,-0.05,0.73,4,0.2,0.0,0.8,0.2,0.49,35,9.5,9.7
8475768,Jaden Schwartz,SEA,F,33.6,15,False,-0.19,0.69,4,0.2,0.0,0.8,0.18,0.45,35,16.8,17.0
8479378,Logan Stanley,BUF,D,27.7,6,False,0.38,0.51,11,0.2,0.0,3.1,0.33,0.43,29,-0.2,-0.1
8473419,Brad Marchand,FLA,F,37.7,17,False,0.23,1.04,3,0.2,0.0,0.4,0.13,0.68,39,33.0,33.2
8475462,Radko Gudas,ANA,D,35.7,14,False,0.28,0.99,6,0.2,0.0,1.0,0.25,0.61,37,13.8,14.0
8475151,Kyle Palmieri,NYI,F,35.0,16,False,-0.21,0.74,3,0.2,0.0,0.5,0.15,0.49,36,15.6,15.8
8475220,Marcus Foligno,MIN,F,34.5,15,False,-0.05,0.65,4,0.2,0.0,0.8,0.17,0.4,35,10.5,10.6
8478366,Frank Vatrano,ANA,F,31.9,11,False,-0.39,0.59,6,0.2,0.0,1.0,0.21,0.4,33,7.9,8.0
8481006,Tyler Tucker,STL,D,25.9,4,False,1.05,0.42,12,0.1,0.0,2.7,0.24,0.38,27,-0.1,0.0
8483808,Andrei Kuzmenko,LAK,F,30.0,4,False,-0.31,0.5,7,0.1,0.0,1.2,0.19,0.34,31,4.3,4.4
8473422,Nick Foligno,MIN,F,38.3,18,False,-0.14,0.67,3,0.1,0.0,0.3,0.06,0.31,39,19.8,19.9
8476539,Jonathan Marchessault,NSH,F,35.1,14,False,-0.22,0.55,4,0.1,0.0,0.6,0.12,0.3,36,15.3,15.4
8476927,Teddy Blueger,VAN,F,31.5,8,False,-0.79,0.5,6,0.1,0.0,1.1,0.18,0.34,32,4.9,5.0
8475324,Nick Jensen,OTT,D,35.4,10,False,-0.01,0.76,6,0.1,0.0,0.9,0.2,0.45,36,17.2,17.3
8479292,Charlie Lindgren,WSH,G,32.1,11,False,-0.6,0.57,11,0.1,0.0,4.1,0.16,0.47,33,2.9,3.1
8479980,Nicolas Hague,NSH,D,27.2,7,False,0.06,0.46,12,0.1,0.0,2.5,0.24,0.4,28,4.7,4.8
8483513,Reid Schaefer,NSH,F,22.4,1,False,-0.34,-0.12,14,0.1,0.0,2.4,0.05,0.22,25,-0.3,-0.3
8477425,Miles Wood,CBJ,F,30.4,11,False,0.05,0.47,7,0.1,0.0,1.2,0.17,0.31,31,6.5,6.5
8478971,Connor Ingram,EDM,G,28.8,5,False,0.68,0.39,14,0.1,0.0,5.3,0.11,0.34,30,1.1,1.2
8475692,Mats Zuccarello,MIN,F,38.4,16,False,0.89,0.84,3,0.1,0.0,0.3,0.09,0.48,39,18.2,18.3
8477950,Tony DeAngelo,NYI,D,30.3,10,False,1.45,0.54,9,0.1,0.0,2.0,0.24,0.4,31,4.5,4.6
8473994,Jamie Benn,DAL,F,36.5,17,False,0.02,0.93,3,0.1,0.0,0.4,0.12,0.61,38,35.3,35.4
8484185,Nick Lardis,CHI,F,20.6,1,False,-0.1,-0.32,15,0.1,0.0,2.5,-0.05,0.25,25,-0.1,0.0
8476889,Radek Faksa,DAL,F,32.1,11,False,0.41,0.47,6,0.0,0.0,0.9,0.14,0.28,33,9.2,9.3
8477851,Jordan Oesterle,NSH,D,33.6,12,False,-0.01,-1.02,2,-0.0,0.0,0.0,-0.03,-0.5,35,1.3,1.3
8482703,Colton Dach,EDM,F,23.1,2,False,0.18,0.08,13,0.0,0.0,2.2,0.11,0.22,25,-0.2,-0.2
8481725,Elmer Soderblom,PIT,F,24.6,4,False,0.33,0.33,11,0.0,0.0,1.8,0.17,0.29,26,0.3,0.3
8484230,Otto Stenberg,STL,F,20.7,1,False,-0.09,-0.35,15,0.0,0.0,2.4,-0.06,0.22,25,-0.1,-0.1
